fhrs_address,DPA_MATCH_DESCRIPTION,DPA_UPRN,plot_address,plot_lng,plot_lat
"Iss caterhouse ltd, St Johns And St Clements Prima, Adys Road, London, SE15 4DY",GOOD,2.00E+11,"ST. JOHNS & ST. CLEMENTS PRIMARY SCHOOL, ADYS ROAD, LONDON, SE15 4DY",-0.071794757,51.46309333
"Iya pupa, 30 Choumert Road, London, SE15 4SE",GOOD,2.00E+11,"TESSAS BARGAIN, 30, CHOUMERT ROAD, LONDON, SE15 4SE",-0.068700839,51.46817721
"J & j butchers, 132 Rye Lane, London, SE15 4RZ",EXACT,2.00E+11,"J & J BUTCHERS, 132, RYE LANE, LONDON, SE15 4RZ",-0.067965878,51.4685338
"J & t fish & seafood, 7C Choumert Road, London, SE15 4SE",GOOD,10009801326,"J & T FISH, 7C, CHOUMERT ROAD, LONDON, SE15 4SE",-0.068639146,51.46793339
"J f ayre ltd, 131-133 Evelina Road, London, SE15 3HB",EXACT,2.00E+11,"J F AYRE LTD, 131-133, EVELINA ROAD, LONDON, SE15 3HB",-0.056857675,51.46599414
"Jaffa food store, 168 Rye Lane, London, SE15 4NB",GOOD,10090286043,"JAFFA FOODS, 168, RYE LANE, LONDON, SE15 4NB",-0.067352609,51.46773441
"Jamaica spice ltd, 207 Rye Lane, London, SE15 4TP",EXACT,2.00E+11,"TASTY BAKERY, 207, RYE LANE, LONDON, SE15 4TP",-0.06659118,51.46767482
"Jb's soul food, 27a Peckham High Street, London, SE15 5EB",PARTIAL,10091837438,"RAM JAM TAKEAWAY, 27A, PECKHAM HIGH STREET, LONDON, SE15 5EB",-0.072398469,51.47370559
"Jenny's, 12 Station Way, London, SE15 4RX",GOOD,2.00E+11,"12, CLIFTON WAY, LONDON, SE15 2LG",-0.057314033,51.47660405
"Jerkiz caribbean cuisine, 100 Evelina Road, London, SE15 3HL",GOOD,2.00E+11,"NKEMS AFRICAN QUISINE, 100, EVELINA ROAD, LONDON, SE15 3HL",-0.056487182,51.46658152
"Julian supermarket, 137 Brayards Road, London, SE15 2BX",EXACT,2.00E+11,"JULIAN SUPERMARKET, 137, BRAYARDS ROAD, LONDON, SE15 2BX",-0.057375476,51.46973468
"K & k butchers, 146-150 Rye Lane, London, SE15 4RZ",EXACT,2.00E+11,"K & K BUTCHERS, 146-150, RYE LANE, LONDON, SE15 4RZ",-0.067789843,51.46827011
"K&a centre ltd, 90-92 Rye Lane, London, SE15 4RZ",EXACT,2.00E+11,"K & A FOODS, 90-92, RYE LANE, LONDON, SE15 4RZ",-0.068514042,51.46953202
"Kairos, John Kitchen Centre, 22 Linden Grove, London, SE15 3LF",GOOD,1.00E+11,"22, LINDEN GROVE, LONDON, SE26 5PH",-0.052247977,51.41870594
"Kam foh, 19 Peckham High Street, London, SE15 5EB",EXACT,2.00E+11,"KAM FOH, 19, PECKHAM HIGH STREET, LONDON, SE15 5EB",-0.072640064,51.4737815
"Kapadokya, 44 Peckham Rye, London, SE15 4JR",GOOD,2.00E+11,"KAPADOKYA FISH SHOP, 44, PECKHAM RYE, LONDON, SE15 4JR",-0.066759978,51.46538448
"Kashmir grocers, 18 Choumert Road, London, SE15 4SE",GOOD,10091838253,"KASMIR GROCERS, 18-20, CHOUMERT ROAD, LONDON, SE15 4SE",-0.068382787,51.46820794
"Katies, 165 Peckham Hill Street, London, SE15 5JZ",EXACT,2.00E+11,"KATIES, 165, PECKHAM HILL STREET, LONDON, SE15 5JZ",-0.068593829,51.47446131
"Katies kebab, 130 Peckham Hill Street, London, SE15 5JT",GOOD,2.00E+11,"KATIES KEBABS, 130, PECKHAM HILL STREET, LONDON, SE15 5JT",-0.068955127,51.47408957
"Keerthanaa store, 97 Azenby Road, London, SE15 5AJ",,,,,
